max buffer gets delta,max executions delta,max ELAPSED TIME DELTA ,max rows TIME DELTA ,max disk reads delta,max cpu TIME DELTA 
42,14,1662,0,0,0
0,0,0,0,0,0
6,1,957222,8,0,453125
692,1,1041785,0,0,15625
2,1,214,0,0,0
0,3,454724,3,0,0
0,0,0,0,0,0
2800,2,4089876,2,0,31250
28,4,1980,4,0,0
94,9,2712,9,0,0
2,1,83,0,0,0
28,14,757,0,0,0
0,4,676,4,0,0
0,0,0,0,0,0
72,18,3998884,18,0,0
6,2,330,2,0,0
0,66,265798,66,0,31250
112,1,481689,0,6,15625
56,8,1250,0,0,0
0,6,263,0,0,0
7,1,1703527,1,0,0
0,2,9971,2,0,15625
12,6,619,6,0,15625
5,2,602,1,0,15625
16,8,2381,8,0,0
12,3,2212564,3,0,0
32,4,1882,4,0,0
8,2,253,2,0,0
4,2,343,2,0,0
132,11,17952,11,0,15625
172,4,2107,156,0,0
0,4,3990444,0,0,0
25,25,1016,0,0,0
7,1,124089,24,0,0
25,25,3464,25,0,0
0,91,82415,1911,0,93750
6,2,3417098,0,0,0
0,4,1714257,4,0,0
68,1,205588,49,3,0
56,1,152421,1,0,31250
0,9,47573,9,0,62500
104,1,656950,158,0,15625
50,1,1765,3,0,0
0,1,85177,0,0,62500
0,3,1462648,3,0,0
0,1,248171,0,0,0
0,3,462870,3,0,0
172,4,1640,156,0,15625
24,6,1903,6,0,0
241,80,20931,80,0,31250
870,1,150575,1,0,78125
10,5,510,5,0,0
32,4,1271,4,0,0
6,1,586,16,0,15625
72,7,2790,7,0,0
120,1,205014,620,0,31250
16,4,1059,4,0,0
20,5,4334,5,0,0
7,1,1568610,1,0,0
0,0,0,0,0,0
160,10,159187,0,0,46875
25,1,128956,55,0,0
16,8,632,8,0,0
16,1,5620,0,0,15625
0,3,564890,0,0,0
121,10,7191,10,0,0
0,4,1214,0,0,0
128,1,6813,0,0,15625
22,1,7112758,0,0,31250
0,3,1269947,3,0,0
29,1,736324,112,0,31250
20,20,764,0,0,0
6,1,10250,24,0,15625
20,20,2656,20,0,0
0,63,45684,1323,0,156250
18,9,1003,0,0,0
7,1,705,1,0,15625
3,1,1967551,0,0,0
142,1,109069,588,0,15625
736,1,2544548,1,106,62500
142,22,220931,0,9,0
414,1,2799208,8,42,78125
1843,113,5447682,670,134,109375
139,41,22261,41,5,0
94,1,57507,0,1,15625
148,4,279824,36,72,0
3,1,107443,1,2,0
98,14,2395,0,0,0
7,1,206457,1,0,0
38,19,134294,19,0,0
50,1,3037,3,0,0
211,1,226366,103,0,31250
205,17,7617,17,0,0
6763,2,1149668,26,36,125000
14,14,1911,14,0,0
1,1,237166,1,0,0
0,1,227010,1,0,0
18,9,836,0,0,0
18,9,33349,0,0,0
35,35,1507,0,0,0
0,1,332502,8,0,328125
8,2,1115,2,0,0
0,0,0,0,0,0
48,4,142213,0,0,31250
14,14,1326,0,0,0
229,5,177614,5,13,31250
137,1,812684,8,9,515625
239,1,1043904,12,9,15625
79,10,89244,10,5,0
0,0,54065,0,0,0
1518,493,2748417,7365,180,125000
328,152,323914,0,9,0
564,1,1840929,0,47,78125
119,27,5516,0,0,0
2,2,5988,2,1,0
7904,2898,3613808,1972,100,171875
959,1,1218504,1,675,46875
215,1,109404,1,10,46875
73,13,186064,7,6,0
0,1,898645,1,0,890625
442,118,129524,210,2,0
3834,1,5941101,1,252,406250
2913,708,2623142,700,71,93750
14008,1,5268841,2709,1139,390625
173,27,49415,41,2,0
1120,1,2725619,1,151,140625
4972,1,884529,0,2001,171875
50,4,112880,4,5,0
974,59,2357683,239,372,15625
168,48,256045,39,4,0
553,44,3072938,44,157,93750
8,0,9591,0,0,15625
6,0,4629,0,0,0
39,11,33810,2,1,15625
32469,1,8243118,1,1826,1562500
1395,2,2191264,2,163,78125
208,21,471669,200,30,15625
16,1,13227,0,0,15625
72,4,154449,10,22,0
206,59,1073267,19,32,0
1119,348,1672358,348,38,15625
1656,1,1277744,0,48,46875
6702,1,2520926,1,0,203125
35,35,5076,35,0,0
60,20,36097,20,0,15625
0,144,103153,3024,0,109375
0,88,54481,88,0,46875
4,20,2704,20,0,0
27,5,2003,3,0,0
4823,31,1483492,31,6,156250
9612,1,7492396,1,55,609375
0,144,38264,2016,0,46875
7,1,237648,1,0,0
0,12,50310,12,0,62500
80,20,17239,20,0,15625
5,2,988,1,0,0
0,1,43388,0,0,46875
0,0,487,0,0,0
0,0,0,0,0,0
60,5,110054,0,0,15625
26,10,27784,6,0,0
4,1,444,1,0,0
39,10,20196,0,0,0
50,1,224491,38,1,31250
0,0,0,0,0,0
12,1,31397,2,0,0
0,109,4217,0,0,0
0,1,587926,1,0,15625
3,1,12637,1,0,0
30,10,84946,10,0,0
1022,273,21149,490,0,46875
16,1,1135328,1,0,125000
28,8,26697,4,0,0
0,4,315215,4,0,15625
2098,40,2852985,40,17,312500
14,4,46490,4,0,0
0,0,0,0,0,0
25,5,32656,5,1,0
4831,0,7327976,0,1,1609375
0,1,1969170,0,0,0
2592,864,356654,7,0,93750
0,1,215489,1,0,0
66,33,23953,0,0,0
99,33,5497,0,0,0
0,0,0,0,0,0
6,1,333772,8,0,328125
2,1,220,0,0,0
150,50,5486,0,0,0
497,1,78539,103,0,31250
18,9,19230,0,0,0
7,1,4745,0,0,15625
6702,1,183307,0,0,125000
2,1,488,0,0,0
0,0,0,0,0,0
245,15,42322,0,0,31250
410,34,423931,0,0,125000
328,109,17061,109,0,15625
12,5,14160,1,1,0
0,0,0,0,0,0
4201,3,186314,6,0,93750
141,20,110182,20,0,0
0,0,0,0,0,0
108,27,6448,27,0,0
127,37,52376,37,0,15625
6,3,284315,0,0,0
143,1,1986441,0,1,187500
20592,1,5701503,0,13,703125
401,1,275164,28,1,0
